id,cluster
q3CE3B4,2
q3B93B7,1
q8D28B1,4
q880BBC,7
q828CBC,18
q8FCAB6,13
q890AB3,8
q8463B3,1
q4A0917,1
q49351C,5
qF42114,12
qFF5415,2
qFCC51C,3
qFF6316,3
qF17913,1
qF6DB13,3
qF06518,15
q03DC1B,12
q06C21C,12
q044D16,14
q74341C,15
q74A419,16
qB86914,1
qBB741F,11
qBBB81B,2
qB1C91E,8
q1BDD10,3
q1A8A12,7
q187C1A,8
q1BDE1A,20
q120B1C,12
q1E6C1C,16
q16521E,1
q15E718,3
q282412,3
q279C1A,3
q28DD1C,3
q2A7318,1
qDF4F14,18
qDA5810,2
qD5C210,3
qD4E517,0
qD3D11A,6
qD1EC19,3
qD05218,8
q516B10,11
q5F9412,10
q5ADA1A,13
q56EC13,8
qA42414,8
qA9D51D,13
qA57019,13
qA65413,20
qC28B1F,5
qC7CE1D,12
qC3F31C,14
qC1871C,7
qCD5916,1
q984E14,11
q98BE1B,8
q916D1B,3
q901E1D,16
q9CC519,3
q967016,5
q9C3D18,1
qECEA1F,1
qE7A311,4
qE3A511,14
qE7A015,1
qE6A81A,9
q68E310,12
q62221D,15
q64C915,1
q617D1E,8
q366012,6
q31951C,13
q352316,10
q816E17,13
q8DE41B,5
q4ED72E,7
qFD6F27,13
qF6C12B,2
qFB7E2C,13
qF26529,8
q0BFF27,1
q0A602D,12
q097126,12
q0C2926,3
q75D42E,3
q7E3D23,1
qBA0F2F,3
qB69E20,1
qB3FD22,1
qB5182A,7
q16C82F,13
q2C042F,12
q29FF2B,12
q20552D,5
q2AC82D,13
q2D6025,2
q29032E,12
qD3E52F,12
qD97920,1
qDB2B2B,2
qDFF226,3
qA14C23,6
qA6F423,12
qCB002C,7
qCAD22C,1
q95402F,12
q91A822,10
q994F25,3
q93282C,1
q9DFF28,1
q9E9F28,14
qEA1820,1
qEA8C20,1
qEA832C,1
q6DC820,3
q69EA2B,13
q63A42D,1
q6F2723,1
q679B23,2
q32C527,3
q3BD82B,13
q31EA2E,1
q32D023,11
q8EB12F,2
q8DDA2F,1
q8FEF27,0
q8BDD2D,1
q41DCD2,4
q41D6D8,8
q4DEAD8,2
qF3BDD1,13
qF675D2,2
qF033D5,1
qFAF3D6,1
q0366D7,13
q04CDD2,1
q0CB0DD,10
q0187D6,12
q043BD3,13
q72ADD4,16
q7EC5DB,13
q7DE0DD,1
q7013D5,10
q72CCDC,1
q7D08DE,12
q7C33D6,12
qB29CD4,5
qB6FBDF,6
qBAF7D2,12
qB851D5,6
qBA96DA,13
qB89AD3,6
qB83CD8,10
q1F97D7,0
q1E00DB,4
q10DBDD,2
q19A7D6,7
q129CD6,6
q2AE2D2,1
q2FC7D6,2
qDB54D2,4
qD9E1DD,7
qD829DA,1
qA2DAD4,4
qA9A5DD,12
qA1E2D5,1
qAFE7DA,3
qA827D9,6
qC8C1D4,2
qCF6BD1,0
qC913DA,3
qC26BDA,6
qC542DC,8
qC47ED9,1
qC42BDE,13
qC003D8,12
q9BE1D0,1
q926BD7,10
q9B61DB,1
q95B4D9,3
q9728D9,1
qE320D1,16
qE7CDDC,1
qEC80DC,12
q62C9D7,11
q6BE2DD,7
q66BED5,2
q6D09DE,5
q6F64DE,2
q3862D4,1
q3D42DF,6
q3C08D7,15
q3278D2,6
q3F96D9,3
q3471DE,13
q3048D8,17
q3BC2D8,2
q8211D0,3
q8CC6DB,20
q8918DC,4
q496851,1
q42015D,12
q45685A,3
q43115C,4
qFE6654,9
qF6375D,11
q02A257,3
q0B875A,12
q78A254,10
q7C2351,16
q7BBA5A,5
qB0555F,3
qB4D450,9
qB95F57,8
qBFAE57,10
qBFAC5C,5
qBBF75E,12
qBB285E,5
q163651,12
q1B9355,13
q161E5E,6
q24A55B,13
q276652,1
q244259,2
q23E453,9
qDD645F,3
qDA1557,1
qDA2157,14
qD50555,1
qDA1E55,12
qD2045A,1
qDEC656,9
qD6AF53,13
q556D57,13
q5D3551,3
q5C0D5E,8
q51775E,12
q5F5453,13
q593658,1
qA7FA5F,6
qA10A57,1
qAEEF51,3
qAE2555,3
qA0805E,1
qAC5358,9
qC4D057,1
qC62752,4
qC5985D,1
qC80855,4
qCD5855,10
qC4C959,3
qCF4B58,12
q941F52,2
q9CA05D,17
q99D255,8
q93EB58,14
qEB9D54,6
qE65C5F,14
qE9C85B,1
qE26E51,14
qE1F55D,5
qE50A55,1
qEDF359,12
qEEB859,11
q64E85F,12
q6C3050,8
q61B25C,6
q69CA59,8
q324950,12
q31CB51,18
q3A535A,1
q31A356,3
q8CE15C,2
q821459,14
q8B9259,14
q831F56,2
q892D58,12
q440CAF,14
q4A5CA7,9
q493DA7,12
q4F51A1,12
q4B38A8,8
qFDF5A2,2
qFE4CAD,3
q0B26A4,1
q012CAB,2
q0F9CAB,1
q08F8A1,1
q0395A2,2
q0E2AAE,2
q7EF8A4,3
q7DBEA4,1
q7E19AB,18
q7711A5,4
q729EAA,8
q727DA6,16
qBD75A1,7
qBB8EA5,12
qB057AC,5
qBB5BA8,6
q1B91A2,1
q11F8AD,6
q189AAE,1
q184FA8,4
q26BCA4,4
q2DDAA4,1
q2756A7,3
q208AA7,5
q227BA2,2
q2F61A2,1
q2CE9A9,3
q2D6FA6,13
q2BF8A3,6
qD86FA0,14
qD30EAB,17
qD924A1,13
qD402AD,3
qDB4AA9,3
qD8A4A6,12
qAE91AF,10
qA3BFA5,2
qA04FAC,14
qAAECA6,5
qC1F6AE,15
q9DE2A4,1
q9AD0A7,2
q9E6BA9,2
q9F98AE,1
qEC30AF,12
qE885A1,1
qEFFBAA,18
qE1DEA9,4
qE3EFA9,12
q69EFA0,3
q68ECA9,1
q3D9EAF,1
q3343A0,12
q35F9AD,10
q3C0CA5,13
q3AC2A3,7
q8928AF,16
q886FAF,1
q8F2DA9,1
q8B16AE,16
q8A27AE,1
q46B1CD,7
q44FECA,1
q4D9ECA,1
q4020CC,13
q4378CE,12
q4CE4C6,12
q4AE6C3,3
qF947CB,13
qFB76CB,8
qF17EC5,17
qFFA9CC,12
qF91EC3,14
qF0D8C8,3
q01C2C7,2
q0CFFC3,12
q04D4C3,1
q76D8C5,13
q74EFC9,8
q74BCC6,0
qB350C0,13
qB710C5,12
qBD95C9,13
qBA3CC6,4
q117AC4,9
q1103C0,1
q17B4C0,3
q152FCD,1
q1DC2CC,4
q29B0CF,1
q2EA8C0,1
q20ECC0,8
q22B4C7,1
q2351C7,2
q246ACD,2
q2305CC,12
q2418CE,1
qD4F0CF,6
qDD24CB,12
qDAA9CB,6
qDFE8C9,6
qDB85C3,6
q56D1C0,4
q59EDC0,20
q568BCB,11
q5D58C2,15
q564FC6,6
qA5BFC7,12
qA655C1,12
qA6A9CD,4
qA64ECA,12
qAF28CA,12
qAC58CA,1
qAAEFCA,11
qC914C0,2
qCDCDC7,12
qCD89C1,16
qCEC4CA,18
qC558CC,5
qC6AFC3,4
qCE0DC8,5
q9BC9C0,10
q909BC7,3
q91DAC1,2
q993BCA,13
q91CBC6,1
q9687C3,3
qEA06C4,6
qE533C4,1
qEFDBCF,18
qE877CB,11
qEFD7CB,2
qE058C1,1
q6437C4,2
q6DCBCF,1
q6899CA,12
q60D8CE,1
q3654CF,2
q3234C1,12
q8435CF,2
q8691C2,11
q8D05CD,7
